PLAYER,RATING,VS LAST WEEK
Christian McCaffrey,34.79,0.1
Derrick Henry,33.11,11.2
Dalvin Cook,29.68,0.3
Travis Kelce,29.06,-0.2
Patrick Mahomes,28.25,-1.6
Kyler Murray,28.17,0.6
Tyreek Hill,27.39,-5
DeAndre Hopkins,26.2,-2.6
Cooper Kupp,26.12,3.5
Aaron Jones,25.74,9.6
Tyler Lockett,25.12,1.4
Nick Chubb,25.09,-1.6
Alvin Kamara,25.03,-2.9
Austin Ekeler,24.52,1.6
Russell Wilson,24.2,-0.4
Tom Brady,23.97,0.3
Darren Waller,23.74,-1.2
Amari Cooper,23.58,-4.4
Davante Adams,23.57,2
Lamar Jackson,23.38,1.8
Stefon Diggs,23.29,2.4
Joe Mixon,23.06,-5.6
David Montgomery,22.91,-2.2
Jonathan Taylor,22.91,-2.7
Chris Godwin,22.75,-0.4
Saquon Barkley,22.45,0
CeeDee Lamb,22.37,-1.1
Ezekiel Elliott,22.36,3.9
Adam Thielen,22.27,-1.6
Keenan Allen,22.25,0.7
T.J. Hockenson,22.09,-0.8
Deebo Samuel,21.97,-1.5
Jalen Hurts,21.87,-1.7
D'Andre Swift,21.62,-3.2
Mike Williams,21.39,1.5
D.J. Moore,21.15,2.4
Calvin Ridley,21.09,3.4
Darrell Henderson,20.91,-0.3
Brandin Cooks,20.88,3.1
Terry McLaurin,20.87,4.6
Matthew Stafford,20.86,-1.4
Chris Carson,20.86,1.4
Justin Jefferson,20.83,2.2
Najee Harris,20.76,1.9
Derek Carr,20.52,0.1
Daniel Jones,20.44,2.1
Dak Prescott,20.4,-4.2
Kirk Cousins,20.39,1
Rob Gronkowski,20.26,-0.9
Mike Evans,20.13,6.1
Josh Allen,20.06,-1.3
Diontae Johnson,19.96,0.5
DK Metcalf,19.93,-2.1
Marquise Brown,19.61,1.6
Ja'Marr Chase,19.61,-1.1
Robert Woods,19.25,-0.9
Jared Goff,19.25,0
Sterling Shepard,18.93,-0.7
Antonio Gibson,18.8,-1.5
Marvin Jones,18.65,0.1
A.J. Brown,18.53,-2.5
Aaron Rodgers,18.47,4.7
Tee Higgins,18.26,0
Corey Davis,18.17,-5.6
Justin Herbert,18.14,-0.5
Allen Robinson,18.09,0.2
Noah Fant,17.93,1.5
Damien Harris,17.92,0.4
Ryan Tannehill,17.91,0.1
Chase Edmonds,17.6,-1.8
Miles Sanders,17.57,-3.1
Sam Darnold,17.47,0.3
Mike Davis,17.18,0
Joe Burrow,17.06,-2.5
Jameis Winston,16.93,-4.9
George Kittle,16.92,-1.6
Teddy Bridgewater,16.83,0.5
Julio Jones,16.34,2.5
Kyle Pitts,16.18,1.6
Melvin Gordon,16.06,-2.1
Logan Thomas,16.03,-0.2
Antonio Brown,15.81,-5.2
Clyde Edwards-Helaire,15.61,-2.3
JuJu Smith-Schuster,15.53,1.7
Dallas Goedert,15.46,-2.3
Trevor Lawrence,15.36,-3.8
Robby Anderson,15.31,-2.5
James Robinson,15.28,-1.3
Baker Mayfield,15.2,0.1
Courtland Sutton,15.12,4
Jamaal Williams,15.09,-3.3
Tony Pollard,15.05,5.2
James White,14.95,3.2
D.J. Chark,14.94,-5.7
Rondale Moore,14.94,4.8
Kareem Hunt,14.93,-3.2
Carson Wentz,14.82,-0.4
Devin Singletary,14.81,2.2
Mark Andrews,14.77,1.2
Josh Jacobs,14.74,-5.6
Chase Claypool,14.46,-0.1
Ben Roethlisberger,14.42,0.1
Henry Ruggs III,14.32,3.5
Matt Ryan,14.3,0.9
Robert Tonyan,14.19,3.7
Jarvis Landry,14.05,-4.5
Leonard Fournette,14.03,0.2
Cordarrelle Patterson,13.95,7.9
Ty'Son Williams,13.77,-0.6
DeVonta Smith,13.67,-5.5
Myles Gaskin,13.57,-1.5
Jaylen Waddle,13.54,-3.6
Mac Jones,13.28,-1.9
Tua Tagovailoa,13.25,-3.4
Tyrod Taylor,13.24,-1.9
Javonte Williams,13.11,0.6
Jared Cook,12.97,-1.1
Jerry Jeudy,12.96,-2.4
Tyler Boyd,12.81,0.3
Zach Pascal,12.78,-1
Michael Pittman,12.77,1.6
Kenyan Drake,12.63,-0.5
Zack Moss,12.59,6
Kenny Golladay,12.57,-1.1
Christian Kirk,12.42,-2
Laviska Shenault,12.26,-1.5
Nelson Agholor,12.24,-2.1
Jonnu Smith,12.19,-0.5
Tyler Higbee,12.09,-2.5
Zach Wilson,11.74,-3.8
DeVante Parker,11.73,-1.4
Mark Ingram,11.67,-2.7
Austin Hooper,11.48,1.4
Phillip Lindsay,11.47,0.3
Michael Thomas,11.45,0
Tim Patrick,11.36,1.9
Gus Edwards,11.35,-0.7
Cole Beasley,11.15,-1.4
Hunter Henry,11.08,0.6
Gerald Everett,11.04,-2.5
Jalen Reagor,10.84,-2.3
J.D. McKissic,10.78,2.8
Jakobi Meyers,10.68,-1.7
Michael Gallup,10.42,-0.7
Nyheim Hines,10.13,-3.4
Daniel Carlson,10.09,0.3
Darnell Mooney,10.08,0.5
Michael Carter,10.05,0.2
Darius Slayton,10.05,1.5
Greg Zuerlein,10.04,-0.4
Brandon Aiyuk,10.02,-0.6
Mike Gesicki,10.02,1.8
Dawson Knox,9.95,1.8
Curtis Samuel,9.82,-0.6
James Conner,9.79,-2.5
Sammy Watkins,9.65,-0.5
Elijah Mitchell,9.63,-2.8
Justin Tucker,9.6,-0.7
Juwan Johnson,9.55,-0.4
Cole Kmet,9.47,-2.2
Matt Gay,9.45,-0.6
Robbie Gould,9.43,-1.1
Matt Prater,9.41,0.1
Harrison Butker,9.32,-0.9
Gabriel Davis,9.31,-4
Van Jefferson,9.28,-3.8
Brandon McManus,9.27,0
Deshaun Watson,9.24,0
Tyler Bass,9.22,-1
David Johnson,9.18,-1.8
Emmanuel Sanders,9.16,-0.5
Chris Boswell,9.13,-0.7
Tristan Vizcaino,9.06,-0.1
Blake Jarwin,9.02,0.8
Marquez Callaway,8.98,-0.3